"Copyright (c) 2017 salesforce.com inc.
All rights reserved.
Licensed under the BSD 3-Clause license. 
For full license text see LICENSE.txt file in the repo root or https://opensource.org/licenses/BSD-3-Clause",
d06acbe8ac31e753f40600a9d6717cba,"Inbox OSX"
093081b45872912be9a1f2a8163fe041,"java"
2080bf56cb87e64303e27fcd781e7efd,"java"
225a24b45f0f1adbc2e245d4624c6e08,"java"
3afe1fb5976d0999abe833b14b7d6485,"java"
3b844830bfbb12eb5d2f8dc281d349a9,"java"
51a7ad14509fd614c7bb3a50c4982b8c,"java"
550628650380ff418de25d3d890e836e,"java"
5b270b309ad8c6478586a15dece20a88,"java"
5d7abe53ae15b4272a34f10431e06bf3,"java"
7c7a68b96d2aab15d678497a12119f4f,"java"
88afa0dea1608e28f50acbad32d7f195,"java"
8ce6933b8c12ce931ca238e9420cc5dd,"java"
a61299f9b501adcf680b9275d79d4ac6,"java"
a9fead344bf3ac09f62df3cd9b22c268,"java"
4056657a50a8a4e5cfac40ba48becfa2,"java,eclipse"
f22bdd57e3a52de86cda40da2d84e83b,"java,eclipse,Cyberduck"
028563cffc7a3a2e32090aee0294d636,"java,eclipse,STS"
5f9b53f0d39dc9d940a3b5568fe5f0bb,"java,JavaApplicationStub"
2db6873021f2a95daa7de0d93a1d1bf2,"java,studio,eclipse"
c376061f96329e1020865a1dc726927d,"JavaApplicationStub"
e516ad69a423f8e0407307aa7bfd6344,"Kindle,stack,nextcloud"
3959d0a1344896e9fb5c0564ca0a2956,"LeagueClientUx"
0fe51fa93812c2ebb50a655222a57bf2,"LINE Messaging"
2e094913d88f0ad8dc69447cb7d2ce65,"LINE Messaging"
193349d34561d1d5d1a270172eb2d97e,"LogMeIn Client"
d732ca39155f38942f90e9fc2b0f97f7,"Maxthon"
c9dbeed362a32f9a50a26f4d9b32bbd8,"Messenger,Jumpshare"
6acb250ada693067812c3335705dae79,"mono-sgen,Syncplicity,Axure RP 8,Amazon Drive"
3ee4aaac7147ff2b80ada31686db660c,"node-webkit,Kindle"
641df9d6dbe7fdb74f70c8ad93def8cc,"node.js"
9811c1bb9f0f6835d5c13a831cca4173,"node.js"
106ecbd3d14b4dc6e413494263720afe,"node.js,Postman,WhatsApp"
49de9b1c7e60bd3b8e1d4f7a49ba362e,"nwjs,Chromium"
38cbe70b308f42da7c9980c0e1c89656,"p4v,owncloud"
62448833d8230241227c03b7d441e31b,"parsecd,apple.geod,apple.photomoments,photoanalysisd,FreedomProxy"
e846898acc767ebeb2b4388e58a968d4,"postbox-bin"
a7823092705a5e91ce2b7f561b6e5b98,"Qsync Client"
c048d9f26a79e11ca7276499ef24daf3,"RescueTime,Plantronics Hub"
d219efd07cbb8fbe547e6a5335843f0f,"ruby"
c36fb08942cf19508c08d96af22d4ffc,"Safari"
844166382cc98d98595e6778c470f5d5,"Salesforce Files"
49a341a21f4fd4ac63b027ff2b1a331f,"Skype"
a5aa6e939e4770e3b8ac38ce414fd0d5,"Slack"
116ffc8889873efad60457cd55eaf543,"Spark"
8db4b0f8e9dd8f2fff38ee7c5a1e4496,"SpotlightNetHelper,Safari"
39cf5b7a13a764494de562add874f016,"Steam OSX"
2d3854d1cbcdceece83eabd85bdcc056,"Tableau"
a585c632a2b49be1256881fb0c16c864,"Tableau"
cd7c06b9459c9cfd4af2dba5696ea930,"Tableau"
df65746370dcabc9b4f370c6e14a8156,"True Key"
84071ea96fc8a60c55fc8a405e214c0f,"Used by many desktop apps,Quip,Spotify,GitHub Desktop"
40fd0a5e81ebdcf0ec82a4710a12dec1,"Used by many programs on OSX,apple.WebKit.Networking"
618ee2509ef52bf0b8216e1564eea909,"Used by many programs on OSX,apple.WebKit.Networking"
799135475da362592a4be9199d258726,"Used by many programs on OSX,apple.WebKit.Networking"
7b530a25af9016a9d12de5abc54d9e74,"Used by many programs on OSX,apple.WebKit.Networking"
7e72698146290dd68239f788a452e7d8,"Used by many programs on OSX,apple.WebKit.Networking"
a9aecaa66ad9c6cfe1c361da31768506,"Used by many programs on OSX,apple.WebKit.Networking"
c05de18b01a054f2f6900ffe96b3da7a,"Used by many programs on OSX,apple.WebKit.Networking"
c07cb55f88702033a8f52c046d23e0b2,"Used by many programs on OSX,apple.WebKit.Networking"
e4d448cdfe06dc1243c1eb026c74ac9a,"Used by many programs on OSX,apple.WebKit.Networking"
f1c5cf087b959cec31bd6285407f689a,"Used by many programs on OSX,apple.WebKit.Networking"
488b6b601cb141b062d4da7f524b4b22,"Used by many programs,Python,PHP,Git,dotnet,Adobe"
f28d34ce9e732f644de2350027d74c3f,"Used by many programs,Quip,Aura,Spotify,Chatty"
190dfb280fe3b541acc6a2e5f00690e6,"Used by many programs,Quip,Spotify,Dropbox,GitHub Desktop,etc"
20dd18bdd3209ea718989030a6f93364,"Used by many programs,Slack,Postman,Spotify,Google Chrome"
e0224fc1c33658f2d3d963bfb0a76a85,"Viber"
01319090aea981dde6fc8d6ae71ead54,"vpnkit"
84607748f3887541dd60fe974a042c71,"wineserver"
c2b4710c6888a5d47befe865c8e6fb19,"ZwiftApp"
